Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AE1","ANT3216LL00R2400A","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",45.250000,-3.500000,180.000000,top
"C1","100n","C_0402_1005Metric",11.250000,7.380000,-90.000000,top
"C2","100n","C_0402_1005Metric",5.500000,13.140000,180.000000,top
"C3","10u","C_0805_2012Metric",4.750000,14.640000,180.000000,top
"C4","1u","C_0402_1005Metric",35.495000,22.750000,180.000000,top
"C5","20p","C_0402_1005Metric",25.500000,18.780000,90.000000,top
"C6","4p","C_0402_1005Metric",33.275000,22.850000,180.000000,top
"C7","10u_0402","C_0402_1005Metric",35.495000,21.750000,180.000000,top
"C8","5p","C_0402_1005Metric",31.795000,23.400000,-90.000000,top
"C9","20p","C_0402_1005Metric",30.085000,19.200000,90.000000,top
"C10","100n","C_0402_1005Metric",35.495000,20.750000,180.000000,top
"C11","10u_0402","C_0402_1005Metric",34.995000,24.250000,-90.000000,top
"C12","1u","C_0402_1005Metric",31.085000,21.200000,-90.000000,top
"C13","100n","C_0402_1005Metric",25.300000,21.150000,-90.000000,top
"C14","100p","C_0402_1005Metric",24.800000,31.430000,90.000000,top
"C15","100n","C_0402_1005Metric",29.620000,21.650000,0.000000,top
"C16","100n","C_0402_1005Metric",27.700000,31.430000,90.000000,top
"C17","100n","C_0402_1005Metric",26.895000,21.300000,180.000000,top
"C18","100n","C_0402_1005Metric",20.950000,19.800000,180.000000,top
"C19","1u","C_0402_1005Metric",20.700000,15.380000,-90.000000,top
"C20","1u","C_0402_1005Metric",24.700000,15.380000,90.000000,top
"C21","100n","C_0402_1005Metric",52.240000,33.365000,0.000000,top
"C22","100n","C_0402_1005Metric",69.300000,19.700000,180.000000,top
"C23","100n","C_0402_1005Metric",69.200000,27.000000,180.000000,top
"C24","100n","C_0402_1005Metric",92.900000,34.980000,90.000000,top
"C25","100n","C_0402_1005Metric",82.000000,10.100000,90.000000,top
"C26","100n","C_0402_1005Metric",80.500000,25.100000,-90.000000,top
"C27","100n","C_0402_1005Metric",69.100000,34.500000,180.000000,top
"C28","100n","C_0402_1005Metric",92.000000,30.800000,90.000000,top
"C29","100n","C_0402_1005Metric",91.700000,7.100000,180.000000,top
"C30","100n","C_0402_1005Metric",91.700000,22.800000,180.000000,top
"C31","100n","C_0402_1005Metric",70.800000,30.600000,0.000000,top
"C32","100n","C_0402_1005Metric",93.300000,19.900000,0.000000,top
"C33","100n","C_0402_1005Metric",93.300000,12.500000,0.000000,top
"C34","100n","C_0402_1005Metric",92.200000,15.600000,90.000000,top
"C35","100n","C_0402_1005Metric",82.000000,17.600000,90.000000,top
"C36","100n","C_0402_1005Metric",80.500000,10.100000,-90.000000,top
"C37","100n","C_0402_1005Metric",93.400000,27.400000,0.000000,top
"C38","100n","C_0402_1005Metric",82.000000,25.120000,90.000000,top
"C39","100n","C_0402_1005Metric",70.800000,23.200000,0.000000,top
"C40","100n","C_0402_1005Metric",69.200000,12.400000,180.000000,top
"C41","100n","C_0402_1005Metric",70.800000,15.600000,0.000000,top
"C42","100n","C_0402_1005Metric",70.800000,8.200000,0.000000,top
"C43","100n","C_0402_1005Metric",80.500000,17.600000,-90.000000,top
"C44","10u","C_0805_2012Metric",1.250000,18.500000,0.000000,top
"C45","10u","C_0805_2012Metric",1.250000,16.000000,0.000000,top
"C46","100n","C_0402_1005Metric",116.800000,19.700000,180.000000,top
"C47","100n","C_0402_1005Metric",116.700000,27.000000,180.000000,top
"C48","100n","C_0402_1005Metric",140.400000,34.980000,90.000000,top
"C49","100n","C_0402_1005Metric",129.500000,10.100000,90.000000,top
"C50","100n","C_0402_1005Metric",128.000000,25.100000,-90.000000,top
"C51","100n","C_0402_1005Metric",116.600000,34.500000,180.000000,top
"C52","100n","C_0402_1005Metric",139.500000,30.800000,90.000000,top
"C53","100n","C_0402_1005Metric",139.200000,7.100000,180.000000,top
"C54","100n","C_0402_1005Metric",139.200000,22.800000,180.000000,top
"C55","100n","C_0402_1005Metric",118.300000,30.600000,0.000000,top
"C56","100n","C_0402_1005Metric",140.800000,19.900000,0.000000,top
"C57","100n","C_0402_1005Metric",140.800000,12.500000,0.000000,top
"C58","100n","C_0402_1005Metric",139.700000,15.600000,90.000000,top
"C59","100n","C_0402_1005Metric",129.500000,17.600000,90.000000,top
"C60","100n","C_0402_1005Metric",128.000000,10.100000,-90.000000,top
"C61","100n","C_0402_1005Metric",140.900000,27.400000,0.000000,top
"C62","100n","C_0402_1005Metric",129.500000,25.120000,90.000000,top
"C63","100n","C_0402_1005Metric",118.300000,23.200000,0.000000,top
"C64","100n","C_0402_1005Metric",116.700000,12.400000,180.000000,top
"C65","100n","C_0402_1005Metric",118.300000,15.600000,0.000000,top
"C66","100n","C_0402_1005Metric",118.300000,8.200000,0.000000,top
"C67","100n","C_0402_1005Metric",128.000000,17.600000,-90.000000,top
"C68","100n","C_0402_1005Metric",191.800000,19.700000,180.000000,top
"C69","100n","C_0402_1005Metric",191.700000,27.000000,180.000000,top
