Comment,Designator,Footprint,LCSC
"ANT3216LL00R2400A","AE1","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C293767"
"10u","C3,C44,C45,C117,C121,C122","Capacitor_SMD:C_0805_2012Metric","C15850"
"100uF_E","C118,C119,C120","Capacitor_SMD:CP_Elec_6.3x7.7","C127971"
"100p","C14","Capacitor_SMD:C_0402_1005Metric","C1546"
"100n","C1,C2,C10,C13,C15,C16,C17,C18,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C124,C125","Capacitor_SMD:C_0402_1005Metric","C307331"
"1u","C4,C12,C19,C20","Capacitor_SMD:C_0402_1005Metric","C52923"
"20p","C5,C9","Capacitor_SMD:C_0402_1005Metric","C1554"
"4p","C6","Capacitor_SMD:C_0402_1005Metric","C311704"
"10u_0402","C7,C11","Capacitor_SMD:C_0402_1005Metric","C315248"
"5p","C8","Capacitor_SMD:C_0402_1005Metric","C1573"
"Green_0603","D1,D2,D3","LED_SMD:LED_0603_1608Metric","C72043"
"MountingHole","H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24","MountingHole:MountingHole_2.7mm_M2.5",""
"ESP32-S2FH4","IC1","QFN40P700X700X90-57N-D","C2840995"
"AMS1117-3.3","IC2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"W25Q64JVSSIQ","IC3","SOIC127P790X216-8N","C83140"
"SHT20","IC4","SON100P300X300X110-7N",""
"TXS0108EPWR","IC5","SOP65P640X120-20N","C17206"
"U.FL-R-SMT-1_10_","J1","SamacSys_Parts:U.FL-R-SMT-1_10_","C88373"
"GT-USB-7010","J2","Connectors_JT:GT-USB-7010A","C963370"
"TC2050-IDC","J3","TC2050-IDC",""
"KF350-3.5-2P","J4","KF350352P","C474892"
"1.8nH","L1,L2","Inductor_SMD:L_0402_1005Metric",""
"WS2812B-2020","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED80,LED81,LED82,LED83,LED84,LED85,LED86,LED87,LED88,LED89,LED90,LED91,LED92,LED93","WS2812B2020","C965555"
"MUN5214DW1T1G","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C94403"
"TEMT6000X01","Q2","TEMT6000X01","C94098"
"DNF_0402","R1","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R11,R12","Resistor_SMD:R_0402_1005Metric","C25900"
"2.2k","R16","Resistor_SMD:R_0402_1005Metric","C25879"
"1k","R2,R3","Resistor_SMD:R_0402_1005Metric","C11702"
"DNF_0805","R4,R9,R13","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"0","R5,R14,R15","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17477"
"10k","R6,R7,R8,R10,R17","Resistor_SMD:R_0402_1005Metric","C25744"
"TS-1101-C-W","S1,S2","TS1101CW","C318938"
"K3-1296S-E1","S3","K31296SE1","C128955"
"TestPoint","TP1,TP2,TP3,TP5,TP9,TP10,TP11,TP12","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm",""
"TestPoint","TP4,TP6,TP7,TP8","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",""
"CH340C","U1","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C84681"
"SX25Y040000BF1T-C","Y1","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C271649"
